Unnamed: 0,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID3361790798,1.0,7,5,-37.8618349,144.90571599999998,-37.7996429,144.926002,12103.0,2018-04-04,23:09:49,3844.799999999999,0:13:53,32.36
ID3781689896,1.0,7,9,-37.8618349,144.90571599999998,-38.1109156,144.65417250000002,50797.0,2018-06-16,02:48:48,13173.36,6:28:21,71.08
ID1561388474,0.0,1,7,-37.812314799999996,144.96264250000002,-37.8618349,144.90571599999998,8256.0,2018-07-05,19:56:48,2840.16,20:44:08,11.65
ID1236554203,0.0,7,6,-37.8618349,144.90571599999998,-37.7738026,144.98364660000001,16033.0,2018-01-15,16:58:51,5320.6799999999985,18:27:31,14.29
ID1945845392,0.0,5,4,-37.8087408,144.9348385,-37.811865999999995,145.01304050000002,8763.0,2018-05-28,03:12:04,2192.820000000001,3:48:36,14.75
ID3874986947,1.0,2,1,-37.8199985,144.9505275,-37.8212464,144.9613796,1325.0,2018-02-16,01:40:19,351.2999999999999,1:46:10,16.25
ID1772580597,0.0,7,1,-37.8618349,144.90571599999998,-37.80447720000001,144.9631866,9249.0,2018-07-28,02:49:46,3078.3599999999956,3:41:04,20.93
ID5900761032,2.0,8,6,-37.8158343,145.04645,-37.773845,144.9836895,10698.0,2018-07-17,21:29:56,2735.16,22:15:31,234.37
ID1345532666,0.0,8,2,-37.8158343,145.04645,-37.8220982,144.9383513,10396.0,2018-03-28,17:21:20,2964.5399999999986,18:10:44,12.16
ID5587215789,2.0,5,9,-37.80682720000001,144.9378833,-38.1109156,144.65417250000002,43839.0,2018-02-16,02:02:16,10536.9,4:57:52,809.72
ID3948087379,1.0,8,2,-37.807202000000004,145.0266373,-37.8121658,144.94205300000002,8237.0,2018-07-11,14:05:58,2064.959999999999,14:40:22,17.08
ID3521830462,1.0,1,7,-37.8033228,144.9650493,-37.8618349,144.90571599999998,9465.0,2018-06-21,02:22:18,3166.2000000000007,3:15:04,26.75
