Unnamed: 0,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID3336564659,1,5,9,-37.8081852,144.9210748,-38.1109156,144.65417250000004,44142.0,2018-05-14,05:39:25,10685.82,8:37:30,54.92
ID1614117386,0,4,5,-37.81499210000001,145.0060267,-37.7922014,144.93664209999997,7673.0,2018-03-08,06:20:44,1862.7000000000005,6:51:46,1.93
ID3852683412,1,3,8,-37.8133132,144.9737721,-37.807202,145.0266373,5681.0,2018-04-06,01:39:13,1397.5200000000002,2:02:30,17.79
ID3678609446,1,7,9,-37.8618349,144.90571599999996,-38.1109156,144.65417250000004,50797.0,2018-02-04,01:27:28,13173.36,5:07:01,65.73
ID1972923592,0,1,4,-37.8149255,144.9502653,-37.8133448,145.0056668,6295.0,2018-05-12,08:56:00,1681.08,9:24:01,7.39
ID5179788080,2,7,2,-37.8618349,144.90571599999996,-37.822312,144.9524743,8517.0,2018-04-07,02:25:50,2896.9799999999987,3:14:06,205.84
ID1956158006,0,1,6,-37.7989805,144.9454345,-37.7874421,144.9804091,4707.0,2018-03-12,22:21:17,1199.7,22:41:16,13.19
ID3575687145,1,2,5,-37.812793,144.94315569999995,-37.8049802,144.92496719999997,1893.0,2018-07-20,19:24:13,471.72,19:32:04,10.1
ID1880082752,0,4,1,-37.815810600000006,145.00995519999995,-37.800217,144.95485259999995,5860.0,2018-05-03,06:19:39,1345.98,6:42:04,4.81
ID3236104345,1,5,6,-37.8079133,144.9316332,-37.7874325,144.9803767,6514.0,2018-01-23,22:31:32,1651.0800000000006,22:59:03,21.38
ID1651941142,0,7,5,-37.8618349,144.90571599999996,-37.8010669,144.9210961,12215.0,2018-05-13,02:10:35,3739.4399999999987,3:12:54,19.52
ID1328387971,0,1,3,-37.8162009,144.9642033,-37.8218974,144.9777275,1658.0,2018-02-15,19:09:12,397.50000000000006,19:15:49,4.82
ID1397596414,0,6,2,-37.773845,144.9836895,-37.8150624,144.9328467,8089.0,2018-06-19,08:26:33,1792.44,8:56:25,3.34
ID5431774157,2,6,7,-37.7874325,144.9803767,-37.8618349,144.90571599999996,11633.0,2018-07-21,13:32:41,3663.780000000001,14:33:44,240.98
ID3513298635,1,1,7,-37.8219347,144.9554417,-37.8618349,144.90571599999996,8168.0,2018-07-01,18:12:38,2835.24,18:59:53,24.79
ID1732201909,0,2,8,-37.8238015,144.9475135,-37.8158343,145.04645,9471.0,2018-02-21,02:21:57,2758.92,3:07:55,13.83
ID3703466297,1,7,5,-37.8618349,144.90571599999996,-37.8019203,144.9343176,11041.0,2018-06-24,00:12:39,3535.0199999999986,1:11:34,33.71
ID5334540320,2,3,7,-37.8239376,145.00142749999995,-37.8618349,144.90571599999996,10540.0,2018-05-06,04:52:29,3307.14,5:47:36,227.81
ID3989158820,1,3,9,-37.8196042,144.9902635,-38.1109156,144.65417250000004,45962.0,2018-07-24,14:23:45,11032.02,17:27:37,50.96
ID1295520681,0,3,1,-37.8221131,144.97401519999997,-37.8147543,144.9651706,1336.0,2018-01-10,21:27:37,370.08,21:33:47,10.92
ID3633149356,1,2,1,-37.8134339,144.9358028,-37.81317,144.95144,1754.0,2018-07-14,12:41:19,424.26,12:48:23,16.13
ID3370749770,1,7,5,-37.8618349,144.90571599999996,-37.8000075,144.9371309,11095.0,2018-01-15,15:41:04,3630.06,16:41:34,21.6
ID5592323697,2,2,8,-37.8178976,144.94854569999995,-37.8158343,145.04645,9139.0,2018-04-02,19:43:01,2526.600000000001,20:25:07,168.97
ID1249011384,0,1,8,-37.8179891,144.9620086,-37.807202,145.0266373,6788.0,2018-03-19,13:30:10,1683.3600000000006,13:58:13,8.79
ID3202113857,1,1,2,-37.8117547,144.9361055,-37.8232309,144.9378076,2095.0,2018-05-16,09:00:51,514.7999999999998,9:09:25,5.49
ID1733665062,0,8,5,-37.8158343,145.04645,-37.8063974,144.93179469999995,10419.0,2018-06-15,05:55:29,2939.8799999999987,6:44:28,14.72
ID3705024802,1,6,7,-37.7874421,144.9804091,-37.8618349,144.90571599999996,11630.0,2018-06-19,03:22:44,3697.0200000000013,4:24:21,29.06
ID1593198200,0,8,3,-37.807202,145.0266373,-37.8141262,144.9735497,5696.0,2018-04-25,02:10:52,1411.8000000000006,2:34:23,13.81
ID5645349369,2,2,7,-37.8146256,144.9382538,-37.8618349,144.90571599999996,10300.0,2018-03-23,15:22:08,3374.5800000000013,16:18:22,215.73
ID1850846760,0,4,5,-37.8031014,145.0206127,-37.7972646,144.93133490000002,9691.0,2018-07-27,06:23:59,2529.9000000000005,7:06:08,7.32
ID1226684635,0,6,2,-37.7874421,144.9804091,-37.81730039999999,144.92579719999995,7259.0,2018-06-01,18:01:58,1888.2000000000005,18:33:26,8.72
ID1793403670,0,3,4,-37.8209865,144.9904652,-37.8080174,144.9955836,1875.0,2018-04-11,10:41:35,460.6800000000002,10:49:15,4.03
